barcode01_concatenated_racon-11430-8,d__Bacteria;,98.631,1461,10,5,0.0,2532,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode03_concatenated_racon-44-95,d__Bacteria;,97.864,1451,27,3,0.0,2468,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Daucus_carota
barcode03_concatenated_racon-44-95,d__Bacteria;,97.864,1451,27,3,0.0,2468,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Coffea_arabica
barcode03_concatenated_racon-44-95,d__Bacteria;,97.864,1451,27,3,0.0,2468,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Lepidium_virginicum
barcode03_concatenated_racon-44-95,d__Bacteria;,97.864,1451,26,4,0.0,2464,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Ipomoea_nil
barcode03_concatenated_racon-44-95,d__Bacteria;,97.864,1451,26,4,0.0,2464,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Ipomoea_purpurea
barcode03_concatenated_racon-46-67,d__Bacteria;,96.203,1475,29,4,0.0,2415,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode03_concatenated_racon-46-67,d__Bacteria;,96.149,1454,29,4,0.0,2377,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_limoniae
barcode03_concatenated_racon-46-67,d__Bacteria;,95.448,1472,42,2,0.0,2367,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsiaceae; s__uncultured_Rickettsia
barcode03_concatenated_racon-46-67,d__Bacteria;,95.676,1457,29,7,0.0,2343,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode03_concatenated_racon-46-67,d__Bacteria;,95.589,1451,36,5,0.0,2333,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode03_concatenated_racon-46-67,d__Bacteria;,94.429,1472,55,4,0.0,2292,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode03_concatenated_racon-46-67,d__Bacteria;,94.429,1472,55,4,0.0,2292,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode03_concatenated_racon-46-67,d__Bacteria;,94.361,1472,56,4,0.0,2287,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode03_concatenated_racon-46-67,d__Bacteria;,94.293,1472,57,4,0.0,2283,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_canadensis
barcode03_concatenated_racon-46-67,d__Bacteria;,94.293,1472,57,4,0.0,2283,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_massiliae
barcode03_concatenated_racon-46-67,d__Bacteria;,94.293,1472,57,4,0.0,2283,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_canadensis
barcode03_concatenated_racon-46-67,d__Bacteria;,94.293,1472,57,4,0.0,2283,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_slovaca
barcode03_concatenated_racon-46-67,d__Bacteria;,94.226,1472,59,3,0.0,2282,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode03_concatenated_racon-46-67,d__Bacteria;,94.226,1472,58,4,0.0,2278,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_raoultii
barcode03_concatenated_racon-46-67,d__Bacteria;,94.226,1472,58,4,0.0,2278,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_massiliae
barcode03_concatenated_racon-46-67,d__Bacteria;,94.226,1472,58,4,0.0,2278,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_peacockii
barcode03_concatenated_racon-46-67,d__Bacteria;,94.090,1472,62,2,0.0,2277,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_sibirica
barcode03_concatenated_racon-46-67,d__Bacteria;,94.162,1473,59,4,0.0,2276,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_heilongjiangensis
barcode03_concatenated_racon-46-67,d__Bacteria;,94.158,1472,59,4,0.0,2274,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_rickettsii
barcode03_concatenated_racon-46-67,d__Bacteria;,94.158,1472,59,4,0.0,2274,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_heilongjiangensis
barcode03_concatenated_racon-46-67,d__Bacteria;,94.158,1472,59,4,0.0,2274,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_felis
barcode03_concatenated_racon-46-67,d__Bacteria;,94.158,1472,59,4,0.0,2274,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_philipii
barcode03_concatenated_racon-46-67,d__Bacteria;,94.090,1472,61,3,0.0,2273,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_parkeri
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.668,1504,1,3,0.0,2681,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.601,1504,2,3,0.0,2676,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.601,1504,2,3,0.0,2676,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.601,1504,2,3,0.0,2676,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.601,1504,2,3,0.0,2676,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.601,1504,2,3,0.0,2676,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_sp.
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.601,1504,2,3,0.0,2676,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.535,1504,3,3,0.0,2672,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.535,1504,3,3,0.0,2672,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.535,1504,3,3,0.0,2672,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.535,1504,3,3,0.0,2672,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.535,1504,3,3,0.0,2672,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.535,1504,3,3,0.0,2672,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_sp.
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.535,1504,3,3,0.0,2672,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.468,1504,4,3,0.0,2667,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.468,1504,4,3,0.0,2667,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.468,1504,4,3,0.0,2667,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.468,1504,4,3,0.0,2667,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.468,1504,4,3,0.0,2667,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.401,1503,6,2,0.0,2664,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.401,1503,6,2,0.0,2664,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.402,1504,4,3,0.0,2663,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_sp.
barcode03_concatenated_racon-4657-35,d__Bacteria;,99.402,1504,5,3,0.0,2663,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_sp.
barcode03_concatenated_racon-472-4,d__Bacteria;,99.336,903,6,0,0.0,1602,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode03_concatenated_racon-472-4,d__Bacteria;,99.336,903,6,0,0.0,1602,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_limoniae
barcode03_concatenated_racon-472-4,d__Bacteria;,99.003,903,9,0,0.0,1589,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsiaceae; s__uncultured_Rickettsia
barcode03_concatenated_racon-472-4,d__Bacteria;,98.007,903,18,0,0.0,1548,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__metagenome
barcode03_concatenated_racon-472-4,d__Bacteria;,97.896,903,19,0,0.0,1544,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Candidatus_Trichorickettsia; s__Candidatus_Trichorickettsia
barcode03_concatenated_racon-472-4,d__Bacteria;,98.539,890,7,2,0.0,1544,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode03_concatenated_racon-472-4,d__Bacteria;,97.674,903,21,0,0.0,1535,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode03_concatenated_racon-472-4,d__Bacteria;,98.122,905,11,6,0.0,1535,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsiaceae; s__uncultured_Rickettsia
barcode03_concatenated_racon-472-4,d__Bacteria;,97.674,903,21,0,0.0,1535,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode03_concatenated_racon-472-4,d__Bacteria;,97.564,903,22,0,0.0,1530,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_felis
barcode03_concatenated_racon-472-4,d__Bacteria;,97.564,903,22,0,0.0,1530,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode03_concatenated_racon-472-4,d__Bacteria;,97.564,903,22,0,0.0,1530,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_felis
barcode03_concatenated_racon-472-4,d__Bacteria;,98.303,884,15,0,0.0,1528,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode03_concatenated_racon-472-4,d__Bacteria;,98.303,884,15,0,0.0,1527,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Candidatus_Trichorickettsia; s__Candidatus_Trichorickettsia
barcode03_concatenated_racon-472-4,d__Bacteria;,97.453,903,23,0,0.0,1526,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_hoogstraalii
barcode03_concatenated_racon-472-4,d__Bacteria;,97.453,903,23,0,0.0,1526,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_australis
barcode03_concatenated_racon-472-4,d__Bacteria;,97.453,903,23,0,0.0,1526,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_slovaca
barcode03_concatenated_racon-472-4,d__Bacteria;,97.760,893,20,0,0.0,1521,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode03_concatenated_racon-472-4,d__Bacteria;,97.342,903,24,0,0.0,1521,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsia
barcode03_concatenated_racon-472-4,d__Bacteria;,97.342,903,24,0,0.0,1521,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_sibirica
barcode03_concatenated_racon-472-4,d__Bacteria;,97.342,903,24,0,0.0,1521,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode03_concatenated_racon-472-4,d__Bacteria;,97.342,903,24,0,0.0,1521,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_raoultii
barcode03_concatenated_racon-472-4,d__Bacteria;,97.342,903,24,0,0.0,1521,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_massiliae
barcode03_concatenated_racon-50-115,d__Bacteria;,91.992,1436,92,14,0.0,2030,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsiaceae
barcode03_concatenated_racon-50-115,d__Bacteria;,91.045,1474,105,19,0.0,2003,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode03_concatenated_racon-50-115,d__Bacteria;,90.865,1456,106,19,0.0,1966,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_limoniae
barcode03_concatenated_racon-50-115,d__Bacteria;,92.073,1375,83,19,0.0,1927,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode03_concatenated_racon-50-115,d__Bacteria;,91.947,1366,86,15,0.0,1923,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode03_concatenated_racon-50-115,d__Bacteria;,89.145,1474,129,21,0.0,1871,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode03_concatenated_racon-50-115,d__Bacteria;,89.092,1476,131,21,0.0,1869,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode03_concatenated_racon-50-115,d__Bacteria;,89.009,1474,131,21,0.0,1862,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_canadensis
barcode03_concatenated_racon-50-115,d__Bacteria;,89.009,1474,131,21,0.0,1862,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_canadensis
barcode03_concatenated_racon-50-115,d__Bacteria;,91.537,1347,87,18,0.0,1859,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode03_concatenated_racon-50-115,d__Bacteria;,91.330,1338,93,14,0.0,1848,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsia
barcode03_concatenated_racon-50-115,d__Bacteria;,88.942,1474,132,23,0.0,1848,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_massiliae
barcode03_concatenated_racon-50-115,d__Bacteria;,88.874,1474,133,23,0.0,1844,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode03_concatenated_racon-50-115,d__Bacteria;,88.730,1473,138,20,0.0,1844,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode03_concatenated_racon-50-115,d__Bacteria;,88.874,1474,133,23,0.0,1844,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_massiliae
barcode03_concatenated_racon-50-115,d__Bacteria;,88.874,1474,133,23,0.0,1844,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode03_concatenated_racon-50-115,d__Bacteria;,88.874,1474,133,23,0.0,1844,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode03_concatenated_racon-50-115,d__Bacteria;,88.806,1474,134,23,0.0,1839,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_sp.
barcode03_concatenated_racon-50-115,d__Bacteria;,88.806,1474,134,23,0.0,1839,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_peacockii
barcode03_concatenated_racon-50-115,d__Bacteria;,88.806,1474,134,23,0.0,1839,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_slovaca
barcode03_concatenated_racon-50-115,d__Bacteria;,88.738,1474,136,22,0.0,1838,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_australis
barcode03_concatenated_racon-50-115,d__Bacteria;,88.738,1474,135,23,0.0,1835,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_rickettsii
barcode03_concatenated_racon-50-115,d__Bacteria;,88.738,1474,135,23,0.0,1835,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsia
barcode03_concatenated_racon-52-42,d__Bacteria;,99.357,1088,7,0,0.0,1931,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode03_concatenated_racon-52-42,d__Bacteria;,99.626,1070,4,0,0.0,1912,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsiaceae
barcode03_concatenated_racon-52-42,d__Bacteria;,99.533,1070,5,0,0.0,1908,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_limoniae
barcode03_concatenated_racon-52-42,d__Bacteria;,99.071,1076,4,2,0.0,1893,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode03_concatenated_racon-52-42,d__Bacteria;,99.160,1071,8,1,0.0,1889,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode03_concatenated_racon-52-42,d__Bacteria;,98.224,1070,15,4,0.0,1830,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode03_concatenated_racon-52-42,d__Bacteria;,97.670,1073,22,3,0.0,1812,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode03_concatenated_racon-52-42,d__Bacteria;,97.059,1088,30,2,0.0,1811,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsiaceae; s__uncultured_Rickettsia
barcode03_concatenated_racon-52-42,d__Bacteria;,96.415,1088,39,0,0.0,1787,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsia
barcode03_concatenated_racon-52-42,d__Bacteria;,97.881,1038,22,0,0.0,1773,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsia
barcode03_concatenated_racon-52-42,d__Bacteria;,96.232,1088,37,4,0.0,1764,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode03_concatenated_racon-52-42,d__Bacteria;,96.232,1088,37,4,0.0,1764,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_canadensis
barcode03_concatenated_racon-52-42,d__Bacteria;,96.232,1088,37,4,0.0,1764,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_canadensis
barcode03_concatenated_racon-52-42,d__Bacteria;,96.048,1088,39,4,0.0,1755,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode03_concatenated_racon-52-42,d__Bacteria;,96.048,1088,39,4,0.0,1755,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode03_concatenated_racon-52-42,d__Bacteria;,96.981,1093,9,21,0.0,1750,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsia
barcode03_concatenated_racon-52-42,d__Bacteria;,95.956,1088,40,4,0.0,1750,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode03_concatenated_racon-52-42,d__Bacteria;,95.956,1088,40,4,0.0,1750,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_massiliae
barcode03_concatenated_racon-52-42,d__Bacteria;,95.956,1088,40,4,0.0,1750,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_slovaca
